mut_types,mut_layer_name,mut_result
GF,stage_1.conv3_CPM_L2,True
GF,stage_1.relu,True
GF,stage_6.conv1_L1,True
GF,stage_2.conv5_L1,True
GF,stage_5.conv3_L2,True
GF,base.vgg_base.layers.7,True
GF,stage_2.conv6_L1,True
GF,stage_3.conv3_L2,True
GF,stage_5.conv3_L1,True
GF,base.vgg_base.layers.6,True
GF,base.vgg_base.layers.22,True
GF,stage_4.conv2_L1,True
GF,stage_4.conv2_L2,True
GF,stage_6.conv2_L1,True
GF,stage_3.relu,True
GF,stage_2,True
GF,stage_6.conv6_L1,True
GF,stage_2.conv1_L1,True
GF,stage_5.conv4_L1,True
GF,stage_5.conv3_L2,True
GF,stage_4,True
GF,stage_6.conv5_L2,True
GF,stage_4.conv3_L2,True
GF,stage_1.conv5_CPM_L1,True
GF,base.vgg_base.layers.1,True
GF,stage_2.conv5_L2,True
GF,base.vgg_base.layers.16,True
GF,base.vgg_base,True
GF,stage_4.conv5_L2,True
GF,stage_1.conv3_CPM_L2,True
GF,stage_4.conv2_L2,True
GF,stage_4.conv7_L2,True
GF,base.vgg_base.layers.17,True
GF,stage_1.conv4_CPM_L1,True
GF,stage_4,True
GF,base.vgg_base.layers.2,True
GF,base.vgg_base.layers.12,True
GF,stage_1.conv4_CPM_L1,True
GF,base.vgg_base.layers.6,True
GF,stage_3.conv6_L2,True
GF,stage_3.conv7_L1,True
GF,stage_5.conv6_L2,True
GF,stage_3.conv4_L2,True
GF,base.vgg_base.layers.17,True
GF,stage_4.conv2_L1,True
GF,stage_3.conv4_L1,True
GF,base.vgg_base.layers.4,True
GF,base,True
GF,stage_2.conv1_L1,True
GF,stage_2.conv7_L1,True
GF,stage_3,True
GF,stage_6.conv5_L2,True
GF,base.vgg_base.layers.22,True
GF,stage_6.conv6_L1,True
GF,stage_4.conv4_L1,True
GF,stage_4.conv5_L2,True
GF,stage_4.conv6_L1,True
GF,stage_1.conv1_CPM_L2,True
GF,stage_2.conv1_L2,True
GF,stage_4.conv4_L1,True
GF,stage_5.conv3_L2,True
GF,base.vgg_base.layers.15,True
GF,stage_2.conv3_L1,True
GF,stage_3.conv4_L2,True
GF,stage_2.conv5_L1,True
GF,base.vgg_base.layers.17,True
GF,stage_3.conv3_L2,True
GF,stage_3.conv6_L1,True
GF,stage_2.conv6_L2,True
GF,stage_4.conv5_L1,True
GF,stage_6.conv2_L1,True
GF,stage_4.relu,True
GF,base.vgg_base.layers.19,True
GF,stage_1.conv1_CPM_L1,True
GF,stage_6.relu,True
GF,stage_1.conv4_CPM_L1,True
GF,stage_4.conv7_L2,True
GF,stage_3.conv5_L2,True
GF,stage_4.conv7_L2,True
GF,stage_2.conv6_L1,True
GF,stage_3.conv3_L2,True
GF,base.vgg_base.layers.0,True
GF,stage_4.conv2_L2,True
GF,stage_2.conv1_L1,True
GF,stage_6.conv1_L1,True
GF,base.vgg_base.layers.17,True
GF,stage_5.conv6_L2,True
GF,stage_4.relu,True
GF,base.vgg_base.layers.16,True
GF,stage_5.conv2_L1,True
GF,stage_2.conv2_L2,True
GF,stage_2.conv1_L1,True
GF,stage_1.conv3_CPM_L2,True
GF,stage_3.conv2_L1,True
GF,base.vgg_base.layers.19,True
GF,stage_4.conv4_L2,True
GF,stage_5.conv1_L1,True
GF,stage_5.conv1_L1,True
GF,base.vgg_base,True
GF,base.vgg_base.layers.5,True
