mut_types,mut_layer_name,mut_result
GF,decoded.16,True
GF,decoded.19,True
GF,decoded.3,True
GF,encoded.4,True
GF,decoded.14,True
GF,encoded.9,True
GF,encoded.3,True
GF,encoded.2,True
GF,decoded.7,True
GF,encoded.8,True
GF,decoded.4,True
GF,encoded.10,True
GF,encoded.17,True
GF,decoded.3,True
GF,encoded.7,True
GF,encoded.4,True
GF,encoded.14,True
GF,encoded.18,True
GF,decoded.8,True
GF,decoded.14,True
GF,encoded.8,True
GF,encoded.3,True
GF,encoded.18,True
GF,decoded.13,True
GF,encoded.3,True
GF,encoded.5,True
GF,encoded.18,True
GF,encoded.0,True
GF,decoded.0,True
GF,decoded.16,True
GF,encoded.17,True
GF,decoded.2,True
GF,decoded,True
GF,decoded.12,True
GF,encoded.8,True
GF,encoded.4,True
GF,encoded.14,True
GF,decoded.12,True
GF,encoded.8,True
GF,encoded.5,True
GF,encoded,True
GF,decoded.17,True
GF,encoded.3,True
GF,decoded,True
GF,encoded.10,True
GF,encoded.4,True
GF,encoded.6,True
GF,encoded,True
GF,decoded.19,True
GF,decoded.11,True
GF,decoded.16,True
GF,decoded.7,True
GF,decoded.4,True
GF,encoded.4,True
GF,encoded.12,True
GF,decoded.0,True
GF,encoded.14,True
GF,decoded.14,True
GF,encoded.12,True
GF,encoded.12,True
GF,decoded.14,True
GF,encoded.17,True
GF,encoded.10,True
GF,encoded.3,True
GF,decoded.19,True
GF,decoded,True
GF,encoded.2,True
GF,decoded.18,True
GF,encoded.10,True
GF,encoded.13,True
GF,encoded.10,True
GF,decoded.3,True
GF,decoded.1,True
GF,decoded.9,True
GF,encoded.18,True
GF,decoded.12,True
GF,decoded.2,True
GF,encoded.4,True
GF,decoded.2,True
GF,decoded.17,True
GF,encoded.2,True
GF,encoded.2,True
GF,encoded.17,True
GF,decoded.4,True
GF,decoded.11,True
GF,decoded,True
GF,decoded.17,True
GF,decoded.3,True
GF,encoded.18,True
GF,decoded.6,True
GF,encoded.17,True
GF,encoded.2,True
GF,decoded.16,True
GF,encoded.17,True
GF,decoded.1,True
GF,decoded,True
GF,decoded.5,True
GF,decoded.5,True
GF,encoded.0,True
GF,encoded.7,True
