mut_types,mut_layer_name,mut_result
AFRM,network.7.2,True
AFRM,network.19.2,True
AFRM,network.8.2,True
AFRM,network.25.2,True
AFRM,network.18.2,True
AFRM,network.6.2,True
AFRM,network.4.2,True
AFRM,network.26.2,True
AFRM,network.22.2,True
AFRM,network.2.2,True
AFRM,network.3.2,True
AFRM,network.11.2,True
AFRM,network.10.2,True
AFRM,network.23.2,True
AFRM,network.12.2,True
AFRM,network.0.2,True
AFRM,network.16.2,True
AFRM,network.14.2,True
AFRM,network.24.2,True
AFRM,network.9.2,True
