mut_types,mut_layer_name,mut_result
LC,resnet.layer3.9.conv2,True
LC,resnet.layer3.7.bn3,True
LC,resnet.layer4.2.bn1,True
LC,resnet.layer3.11.bn3,True
LC,resnet.layer3.12.bn3,True
LC,resnet.layer3.11.bn2,True
LC,resnet.layer3.4.bn1,True
LC,resnet.layer3.18.bn3,True
LC,resnet.layer3.21.conv2,True
LC,resnet.layer2.3.bn1,True
LC,resnet.layer3.1.bn1,True
LC,resnet.layer2.0.bn3,True
LC,resnet.layer3.3.relu,True
LC,resnet.layer3.3.bn1,True
LC,aspp.aspp2.aspp_conv.2,True
LC,resnet.layer2.1.bn3,True
LC,resnet.layer3.6.bn2,True
LC,no,LC set layers failure
LC,resnet.layer4.1.relu,True
LC,resnet.layer3.2.conv2,True
LC,resnet.layer4.0.bn1,True
LC,resnet.layer3.6.relu,True
LC,resnet.layer1.2.bn1,True
LC,resnet.layer3.22.bn3,True
LC,resnet.layer3.6.bn1,True
LC,resnet.layer2.3.bn3,True
LC,resnet.layer3.0.bn2,True
LC,resnet.layer2.3.relu,True
LC,resnet.layer3.6.conv2,True
LC,resnet.layer3.7.relu,True
LC,resnet.layer3.22.relu,True
LC,resnet.layer4.2.bn2,True
LC,resnet.layer3.17.bn3,True
LC,resnet.layer3.18.relu,True
LC,resnet.layer3.12.bn2,True
LC,resnet.layer3.16.conv2,True
LC,resnet.layer3.21.bn3,True
LC,resnet.layer1.2.conv2,True
LC,no,LC set layers failure
LC,resnet.layer1.0.relu,True
LC,resnet.layer3.6.bn3,True
LC,resnet.layer2.3.conv2,True
LC,resnet.layer3.8.relu,True
LC,resnet.layer3.15.bn3,True
LC,resnet.layer3.5.relu,True
LC,resnet.layer3.16.relu,True
LC,resnet.relu,True
LC,resnet.layer3.9.bn3,True
LC,resnet.layer1.2.relu,True
LC,resnet.layer2.2.relu,True
LC,no,LC set layers failure
LC,resnet.layer1.1.relu,True
LC,resnet.layer3.18.conv2,True
LC,resnet.layer3.7.bn2,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,resnet.layer3.22.conv2,True
LC,resnet.layer3.14.bn1,True
LC,aspp.bn1,True
LC,resnet.layer3.9.bn1,True
LC,resnet.layer3.13.bn2,True
LC,resnet.layer3.20.bn3,True
LC,resnet.layer4.2.relu,True
LC,resnet.layer3.15.conv2,True
LC,resnet.layer3.13.bn1,True
LC,resnet.layer3.15.bn1,True
LC,resnet.layer3.9.relu,True
LC,no,LC set layers failure
LC,resnet.layer3.1.conv2,True
LC,resnet.layer3.18.bn1,True
LC,resnet.layer2.2.bn1,True
LC,resnet.layer3.19.bn3,True
LC,resnet.layer3.4.conv2,True
LC,resnet.layer3.3.conv2,True
LC,resnet.layer3.5.bn1,True
LC,resnet.layer3.13.relu,True
LC,resnet.layer2.2.bn3,True
LC,no,LC set layers failure
LC,resnet.layer3.3.bn3,True
LC,resnet.layer3.19.relu,True
LC,resnet.layer3.20.bn1,True
LC,resnet.layer3.4.bn2,True
LC,resnet.layer3.14.relu,True
LC,resnet.layer3.13.bn3,True
LC,resnet.layer4.0.bn2,True
LC,resnet.layer3.3.bn2,True
LC,resnet.layer3.10.conv2,True
LC,resnet.layer3.12.relu,True
LC,resnet.layer3.17.bn1,True
LC,resnet.layer3.21.bn1,True
LC,resnet.layer3.2.bn3,True
LC,resnet.layer3.4.relu,True
LC,resnet.layer3.0.bn1,True
LC,resnet.layer3.20.conv2,True
LC,resnet.layer3.17.relu,True
LC,resnet.layer3.5.bn3,True
LC,resnet.layer3.14.bn3,True
LC,resnet.layer3.14.conv2,True
LC,resnet.layer3.22.bn1,True
LC,resnet.layer3.18.bn2,True
